brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url,energy_kwh_per_km,frontal_area_m2,drag_coefficient,drag_power_kw,drag_energy_kwh_per_km,drag_loss_percent,mass_kg,roll_force_n,rolling_resistance_kwh_per_km,rolling_resistance_loss_percent,predicted_range_km,predicted_range_adjusted_km,km_per_kwh
BYD,SEAL U 71.8 kWh Comfort,175,71.8,Lithium-ion,310.0,171,360,9.3,72.0,CCS,1300.0,552.0,5,FWD,JD - Large,4785,1890,1668,suv,https://ev-database.org/car/2094/BYD-SEAL-U-718-kWh-Comfort,0.171,2.679642,0.35,8.975753964843749,0.35903015859375,209.9591570723684,2000.0,235.44,0.0654,38.24561403508772,419.88304093567245,120.58509123819455,5.847953216374268
BYD,SEAL U 87 kWh Design,175,87.0,Lithium-ion,330.0,174,425,9.6,85.0,CCS,1300.0,552.0,5,FWD,JD - Large,4785,1890,1668,suv,https://ev-database.org/car/2067/BYD-SEAL-U-87-kWh-Design,0.174,2.679642,0.35,8.975753964843749,0.35903015859375,206.33917160560347,2000.0,235.44,0.0654,37.58620689655173,500.00000000000006,145.3803735500917,5.74712643678161
BYD,SEALION 7 82.5 kWh AWD Design,215,82.5,Lithium-ion,690.0,181,400,4.5,115.0,CCS,1500.0,520.0,5,AWD,JD - Large,4830,1925,1620,suv,https://ev-database.org/car/3071/BYD-SEALION-7-825-kWh-AWD-Design,0.181,2.650725,0.35,8.878893310546875,0.355155732421875,196.2186366971685,2000.0,235.44,0.0654,36.13259668508287,455.8011049723757,137.14440001735733,5.524861878453039
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.5,Lithium-ion,380.0,171,415,6.7,115.0,CCS,750.0,520.0,5,RWD,JD - Large,4830,1925,1620,suv,https://ev-database.org/car/3070/BYD-SEALION-7-825-kWh-RWD-Comfort,0.171,2.650725,0.35,8.878893310546875,0.355155732421875,207.6934107730263,2000.0,235.44,0.0654,38.24561403508772,482.45614035087715,139.46276822006035,5.847953216374268
BYD,SEALION 7 91.3 kWh AWD Excellence,215,91.3,Lithium-ion,690.0,182,430,4.5,165.0,CCS,1500.0,520.0,5,AWD,JD - Large,4830,1925,1620,suv,https://ev-database.org/car/3072/BYD-SEALION-7-913-kWh-AWD-Excellence,0.182,2.650725,0.35,8.878893310546875,0.355155732421875,195.14051231971152,2000.0,235.44,0.0654,35.934065934065934,501.64835164835165,151.52125369886443,5.4945054945054945
BYD,TANG Flagship,190,108.8,Lithium-ion,700.0,205,460,4.9,100.0,CCS,1500.0,235.0,7,AWD,JE - Executive,4970,1955,1745,suv,https://ev-database.org/car/2095/BYD-TANG-Flagship,0.205,2.89975375,0.35,9.713042346191408,0.38852169384765634,189.52277748666165,2000.0,235.44,0.0654,31.902439024390244,530.7317073170732,165.11825459058983,4.878048780487805
CUPRA,Born 170 kW - 59 kWh,160,59.0,Lithium-ion,310.0,156,360,6.7,110.0,CCS,0.0,385.0,5,RWD,C - Medium,4322,1809,1540,hatchback,https://ev-database.org/car/2233/CUPRA-Born-170-kW---59-kWh,0.156,2.367981,0.3,6.79869544921875,0.27194781796875,174.3255243389423,1400.0,164.80800000000002,0.04578000000000001,29.34615384615385,378.20512820512823,124.54409000716947,6.410256410256411
CUPRA,Born 170 kW - 77 kWh,160,77.0,Lithium-ion,310.0,157,460,7.0,125.0,CCS,0.0,385.0,5,RWD,C - Medium,4322,1809,1540,hatchback,https://ev-database.org/car/2234/CUPRA-Born-170-kW---77-kWh,0.157,2.367981,0.3,6.79869544921875,0.27194781796875,173.21517068073248,1400.0,164.80800000000002,0.04578000000000001,29.15923566878981,490.44585987261144,162.1982051303947,6.369426751592357
CUPRA,Born VZ,200,79.0,Lithium-ion,545.0,149,465,5.6,135.0,CCS,0.0,385.0,5,RWD,C - Medium,4322,1809,1538,hatchback,https://ev-database.org/car/2128/CUPRA-Born-VZ,0.149,2.3649056999999996,0.3,6.7898659746093735,0.2715946389843749,182.27828119756705,1400.0,164.80800000000002,0.04578000000000001,30.724832214765108,530.2013422818792,169.39171514994572,6.7114093959731544
CUPRA,Tavascan Endurance,180,77.0,Lithium-ion,545.0,142,445,6.8,120.0,CCS,1000.0,540.0,5,RWD,JC - Medium,4644,1861,1597,suv,https://ev-database.org/car/1971/CUPRA-Tavascan-Endurance,0.142,2.5262144499999994,0.35,8.46183160498047,0.33847326419921875,238.36145366142168,2000.0,235.44,0.0654,46.05633802816902,542.2535211267606,141.05838305335746,7.042253521126761
CUPRA,Tavascan VZ,180,77.0,Lithium-ion,545.0,150,425,5.5,120.0,CCS,1200.0,540.0,5,AWD,JC - Medium,4644,1861,1597,suv,https://ev-database.org/car/1972/CUPRA-Tavascan-VZ,0.15,2.5262144499999994,0.35,8.46183160498047,0.33847326419921875,225.64884279947916,2000.0,235.44,0.0654,43.6,513.3333333333334,139.02097280562077,6.666666666666667
Cadillac,Lyriq 600 E4,210,102.0,Lithium-ion,610.0,192,460,5.3,165.0,CCS,1587.0,793.0,5,AWD,JF - Luxury,5005,1977,1623,suv,https://ev-database.org/car/2243/Cadillac-Lyriq-600-E4,0.192,2.72737035,0.35,9.135625293457032,0.3654250117382813,190.3255269470215,2000.0,235.44,0.0654,34.0625,531.25,163.769916232686,5.208333333333333
Citroen,e-Berlingo M 50 kWh,132,50.0,Lithium-ion,260.0,149,235,11.7,80.0,CCS,750.0,775.0,5,FWD,N - Passenger Van,4403,1921,1803,small passenger van,https://ev-database.org/car/2159/Citroen-e-Berlingo-M-50-kWh,0.149,2.9440285499999996,,,,,,,,,335.5704697986577,,6.7114093959731544
Citroen,e-Berlingo XL 50 kWh,132,50.0,Lithium-ion,260.0,149,230,11.7,80.0,CCS,750.0,1050.0,7,FWD,N - Passenger Van,4753,1921,1814,small passenger van,https://ev-database.org/car/2160/Citroen-e-Berlingo-XL-50-kWh,0.149,2.9619899,,,,,,,,,335.5704697986577,,6.7114093959731544
Citroen,e-C3,135,44.0,Lithium-ion,120.0,135,255,11.5,60.0,CCS,550.0,310.0,5,FWD,B - Compact,4015,1755,1577,hatchback,https://ev-database.org/car/2039/Citroen-e-C3,0.135,2.3524897499999997,0.3,6.754218618164062,0.2701687447265625,200.12499609374998,1400.0,164.80800000000002,0.04578000000000001,33.91111111111111,325.9259259259259,97.57206448524403,7.4074074074074066
Citroen,e-C3 Aircross,145,44.0,Lithium-ion,125.0,144,240,12.9,60.0,CCS,350.0,460.0,5,FWD,JB - Compact,4395,1795,1660,suv,https://ev-database.org/car/2224/Citroen-e-C3-Aircross,0.144,2.532745,0.35,8.483706396484374,0.33934825585937495,235.65851101345484,2000.0,235.44,0.0654,45.41666666666667,305.5555555555556,80.18248719732728,6.944444444444445
Citroen,e-C4,150,46.3,Lithium-ion,260.0,135,285,9.9,78.0,CCS,0.0,380.0,5,FWD,C - Medium,4360,1834,1525,hatchback,https://ev-database.org/car/3047/Citroen-e-C4,0.135,2.3773225,0.3,6.825515771484374,0.273020630859375,202.23750434027775,1400.0,164.80800000000002,0.04578000000000001,33.91111111111111,342.96296296296293,102.02718297751237,7.4074074074074066
Citroen,e-C4 54 kWh,150,50.8,Lithium-ion,260.0,122,325,9.1,78.0,CCS,0.0,380.0,5,FWD,C - Medium,4360,1834,1525,hatchback,https://ev-database.org/car/3048/Citroen-e-C4-54-kWh,0.122,2.3773225,0.3,6.825515771484374,0.273020630859375,223.78740234375002,1400.0,164.80800000000002,0.04578000000000001,37.524590163934434,416.39344262295083,115.24484413954096,8.19672131147541
Citroen,e-C4 X,150,46.3,Lithium-ion,260.0,132,290,9.9,78.0,CCS,0.0,510.0,5,FWD,C - Medium,4600,1834,1525,sedan,https://ev-database.org/car/3049/Citroen-e-C4-X,0.132,2.3773225,0.28,6.370481386718751,0.25481925546875006,193.04489050662883,1600.0,188.352,0.05232,39.63636363636363,350.7575757575757,105.43352575159336,7.575757575757575
Citroen,e-C4 X 54 kWh,150,50.8,Lithium-ion,260.0,119,335,9.1,78.0,CCS,0.0,510.0,5,FWD,C - Medium,4600,1834,1525,sedan,https://ev-database.org/car/3050/Citroen-e-C4-X-54-kWh,0.119,2.3773225,0.28,6.370481386718751,0.25481925546875006,214.1338281250001,1600.0,188.352,0.05232,43.96638655462185,426.890756302521,119.20985768870406,8.403361344537815
Citroen,e-SpaceTourer M 50 kWh,130,46.3,Lithium-ion,220.0,217,180,13.3,78.0,CCS,1000.0,603.0,9,FWD,N - Passenger Van,4983,1920,1890,small passenger van,https://ev-database.org/car/2252/Citroen-e-SpaceTourer-M-50-kWh,0.217,3.0844799999999997,,,,,,,,,213.36405529953916,,4.6082949308755765
Citroen,e-SpaceTourer M 75 kWh,130,68.0,Lithium-ion,220.0,202,260,14.2,79.0,CCS,1000.0,603.0,9,FWD,N - Passenger Van,4983,1920,1890,small passenger van,https://ev-database.org/car/2254/Citroen-e-SpaceTourer-M-75-kWh,0.202,3.0844799999999997,,,,,,,,,336.63366336633663,,4.9504950495049505
Citroen,e-SpaceTourer XL 50 kWh,130,46.3,Lithium-ion,220.0,219,180,13.3,78.0,CCS,1000.0,989.0,9,FWD,N - Passenger Van,5333,1920,1890,small passenger van,https://ev-database.org/car/2253/Citroen-e-SpaceTourer-XL-50-kWh,0.219,3.0844799999999997,,,,,,,,,211.41552511415523,,4.566210045662101
Citroen,e-SpaceTourer XL 75 kWh,130,68.0,Lithium-ion,220.0,204,260,14.2,79.0,CCS,1000.0,989.0,9,FWD,N - Passenger Van,5333,1920,1890,small passenger van,https://ev-database.org/car/2255/Citroen-e-SpaceTourer-XL-75-kWh,0.204,3.0844799999999997,,,,,,,,,333.33333333333337,,4.901960784313726
DS,3 E-Tense,150,50.8,Lithium-ion,260.0,128,300,9.0,85.0,CCS,0.0,350.0,5,FWD,JB - Compact,4118,1802,1534,suv,https://ev-database.org/car/1791/DS-3-E-Tense,0.128,2.3496277999999995,0.35,7.870335306640624,0.314813412265625,245.94797833251948,2000.0,235.44,0.0654,51.09374999999999,396.87499999999994,99.95800735272341,7.8125
DS,NÂ°4 E-Tense,160,58.3,Lithium-ion,345.0,130,375,7.1,70.0,CCS,0.0,390.0,5,FWD,JC - Medium,4400,1866,1470,hatchback,https://ev-database.org/car/3200/DS-N4-E-Tense,0.13,2.3315669999999997,0.3,6.694147441406249,0.26776589765625,205.97376742788458,1400.0,164.80800000000002,0.04578000000000001,35.21538461538462,448.4615384615384,131.44073771860866,7.692307692307692
DS,NÂ°8 AWD Long Range,190,97.2,Lithium-ion,511.0,146,530,5.4,130.0,CCS,1400.0,620.0,5,AWD,JD - Large,4834,1920,1574,suv,https://ev-database.org/car/3078/DS-N8-AWD-Long-Range,0.146,2.568768,0.35,8.604369375000001,0.34417477500000004,235.736147260274,2000.0,235.44,0.0654,44.79452054794521,665.7534246575343,174.95394746818732,6.849315068493151
DS,NÂ°8 FWD,190,73.7,Lithium-ion,345.0,141,415,7.7,100.0,CCS,1260.0,620.0,5,FWD,JD - Large,4834,1920,1574,suv,https://ev-database.org/car/3076/DS-N8-FWD,0.141,2.568768,0.35,8.604369375000001,0.34417477500000004,244.09558510638303,2000.0,235.44,0.0654,46.382978723404264,522.6950354609929,133.86011010039462,7.092198581560284
DS,NÂ°8 FWD Long Range,190,97.2,Lithium-ion,345.0,136,545,7.8,130.0,CCS,1200.0,620.0,5,FWD,JD - Large,4834,1920,1574,suv,https://ev-database.org/car/3077/DS-N8-FWD-Long-Range,0.136,2.568768,0.35,8.604369375000001,0.34417477500000004,253.06968750000004,2000.0,235.44,0.0654,48.088235294117645,714.7058823529411,178.1607296635003,7.352941176470588
Dacia,Spring Electric 45,125,25.0,Lithium-ion,125.0,109,165,19.1,29.0,CCS,0.0,308.0,4,FWD,A - Mini,3700,1622,1516,hatchback,https://ev-database.org/car/2126/Dacia-Spring-Electric-45,0.109,2.0901091999999997,0.3,6.000899460937498,0.24003597843749994,220.21649397935775,1400.0,164.80800000000002,0.04578000000000001,42.00000000000001,229.3577981651376,63.32063889343715,9.174311926605505
Dacia,Spring Electric 65,125,25.0,Lithium-ion,113.0,114,160,13.7,29.0,CCS,0.0,308.0,4,FWD,A - Mini,3700,1622,1516,hatchback,https://ev-database.org/car/2127/Dacia-Spring-Electric-65,0.114,2.0901091999999997,0.3,6.000899460937498,0.24003597843749994,210.55787582236837,1400.0,164.80800000000002,0.04578000000000001,40.15789473684211,219.29824561403507,62.52876660332886,8.771929824561402
Dongfeng,Box 31.4 kWh,140,29.0,Lithium-ion,160.0,126,190,12.5,50.0,CCS,1000.0,326.0,5,FWD,B - Compact,4020,1810,1570,hatchback,https://ev-database.org/car/3035/Dongfeng-Box-314-kWh,0.126,2.415445,0.3,6.93496904296875,0.27739876171875,220.15774739583333,1400.0,164.80800000000002,0.04578000000000001,36.33333333333334,230.15873015873015,64.56226890388496,7.936507936507937
Dongfeng,Box 42.3 kWh,140,40.0,Lithium-ion,160.0,129,255,12.5,51.0,CCS,1000.0,326.0,5,FWD,B - Compact,4020,1810,1570,hatchback,https://ev-database.org/car/3036/Dongfeng-Box-423-kWh,0.129,2.415445,0.3,6.93496904296875,0.27739876171875,215.03779978197676,1400.0,164.80800000000002,0.04578000000000001,35.488372093023266,310.07751937984494,88.46058989581546,7.751937984496124
Elaris,BEO 86 kWh,150,81.0,Lithium-ion,320.0,203,390,9.5,65.0,CCS,1000.0,467.0,5,FWD,JD - Large,4698,1908,1696,suv,https://ev-database.org/car/1975/Elaris-BEO-86-kWh,0.203,2.7505727999999996,0.35,9.2133444375,0.3685337775,181.54373275862068,2000.0,235.44,0.0654,32.216748768472904,399.01477832512313,127.1717765038768,4.926108374384236
Fiat,500e 3+1 24 kWh,135,21.3,Lithium-ion,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,hatchback,https://ev-database.org/car/1726/Fiat-500e-3plus1-24-kWh,0.112,2.1873109499999996,0.3,6.279974797851562,0.2511989919140625,224.28481420898433,1400.0,164.80800000000002,0.04578000000000001,40.87500000000001,190.17857142857144,52.08091471963848,8.928571428571429
Fiat,500e 3+1 42 kWh,150,37.3,Lithium-ion,220.0,122,235,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,hatchback,https://ev-database.org/car/1328/Fiat-500e-3plus1-42-kWh,0.122,2.1873109499999996,0.3,6.279974797851562,0.2511989919140625,205.90081304431348,1400.0,164.80800000000002,0.04578000000000001,37.524590163934434,305.73770491803276,89.02594335243106,8.19672131147541
Fiat,500e Cabrio 24 kWh,135,21.3,Lithium-ion,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,cabriolet,https://ev-database.org/car/1727/Fiat-500e-Cabrio-24-kWh,0.112,2.1873109499999996,,,,,,,,,190.17857142857144,,8.928571428571429
Fiat,500e Cabrio 42 kWh,150,37.3,Lithium-ion,220.0,125,230,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,cabriolet,https://ev-database.org/car/1275/Fiat-500e-Cabrio-42-kWh,0.125,2.1873109499999996,,,,,,,,,298.4,,8.0
Fiat,500e Hatchback 24 kWh,135,21.3,Lithium-ion,220.0,112,135,9.0,40.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,hatchback,https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh,0.112,2.1873109499999996,0.3,6.279974797851562,0.2511989919140625,224.28481420898433,1400.0,164.80800000000002,0.04578000000000001,40.87500000000001,190.17857142857144,52.08091471963848,8.928571428571429
Fiat,500e Hatchback 42 kWh,150,37.3,Lithium-ion,220.0,118,235,9.0,67.0,CCS,0.0,185.0,4,FWD,B - Compact,3631,1683,1529,hatchback,https://ev-database.org/car/1285/Fiat-500e-Hatchback-42-kWh,0.118,2.1873109499999996,0.3,6.279974797851562,0.2511989919140625,212.88050162208685,1400.0,164.80800000000002,0.04578000000000001,38.79661016949154,316.10169491525426,89.88406817404486,8.474576271186441
Fiat,600e,150,50.8,Lithium-ion,260.0,124,310,9.0,79.0,CCS,0.0,360.0,5,FWD,JB - Compact,4171,1781,1523,suv,https://ev-database.org/car/1945/Fiat-600e,0.124,2.3055935499999998,0.35,7.722837770019531,0.3089135108007812,249.12379903288812,2000.0,235.44,0.0654,52.741935483870975,409.67741935483866,101.9438544188081,8.064516129032258
Fiat,Grande Panda,132,43.8,Lithium-ion,122.0,136,260,11.0,60.0,CCS,550.0,361.0,5,FWD,B - Compact,3999,1763,1570,hatchback,https://ev-database.org/car/2251/Fiat-Grande-Panda,0.136,2.3527234999999997,0.3,6.754889736328124,0.27019558945312494,198.67322753906245,1400.0,164.80800000000002,0.04578000000000001,33.661764705882355,322.0588235294117,96.90788843927723,7.352941176470588
Ford,Capri Extended Range AWD,180,79.0,Lithium-ion,679.0,148,455,5.3,135.0,CCS,1200.0,572.0,5,AWD,D - Large,4643,1872,1626,liftback sedan,https://ev-database.org/car/2242/Ford-Capri-Extended-Range-AWD,0.148,2.5872911999999997,,,,,,,,,533.7837837837839,,6.756756756756757
Ford,Capri Extended Range RWD,180,77.0,Lithium-ion,545.0,135,455,6.4,120.0,CCS,1000.0,572.0,5,RWD,D - Large,4643,1872,1626,liftback sedan,https://ev-database.org/car/2241/Ford-Capri-Extended-Range-RWD,0.135,2.5872911999999997,,,,,,,,,570.3703703703703,,7.4074074074074066
Ford,Capri Standard Range RWD,160,52.0,Lithium-ion,310.0,163,320,9.0,85.0,CCS,1000.0,572.0,5,RWD,D - Large,4643,1872,1626,liftback sedan,https://ev-database.org/car/2240/Ford-Capri-Standard-Range-RWD,0.163,2.5872911999999997,,,,,,,,,319.0184049079754,,6.134969325153374
Ford,Explorer Extended Range AWD,180,79.0,Lithium-ion,679.0,153,440,5.3,135.0,CCS,1200.0,536.0,5,AWD,JC - Medium,4468,1871,1639,suv,https://ev-database.org/car/2169/Ford-Explorer-Extended-Range-AWD,0.153,2.6065836499999997,0.35,8.731037030761717,0.3492414812304687,228.2624060329861,2000.0,235.44,0.0654,42.745098039215684,516.3398692810457,139.17235193726992,6.5359477124183005
Ford,Explorer Extended Range RWD,180,77.0,Lithium-ion,545.0,139,435,6.4,120.0,CCS,1000.0,536.0,5,RWD,JC - Medium,4468,1871,1630,suv,https://ev-database.org/car/2168/Ford-Explorer-Extended-Range-RWD,0.139,2.5922704999999997,0.35,8.683093569335936,0.34732374277343747,249.87319623988307,2000.0,235.44,0.0654,47.05035971223021,553.956834532374,139.5625999579642,7.194244604316546
Ford,Explorer Standard Range RWD,160,52.0,Lithium-ion,310.0,137,305,8.7,85.0,CCS,1000.0,536.0,5,RWD,JC - Medium,4468,1871,1630,suv,https://ev-database.org/car/2167/Ford-Explorer-Standard-Range-RWD,0.137,2.5922704999999997,0.35,8.683093569335936,0.34732374277343747,253.5209801265967,2000.0,235.44,0.0654,47.73722627737226,379.5620437956204,94.59296725597537,7.2992700729927
Ford,Mustang Mach-E ER AWD (MY25),180,88.0,Lithium-ion,675.0,160,435,4.8,105.0,CCS,1500.0,519.0,5,AWD,JD - Large,4713,1881,1624,suv,https://ev-database.org/car/3189/Ford-Mustang-Mach-E-ER-AWD,0.16,2.5965323999999996,0.35,8.697369269531249,0.34789477078125,217.43423173828123,2000.0,235.44,0.0654,40.875,550.0,153.4986964560642,6.25
Ford,Mustang Mach-E ER AWD (MY24),180,91.0,Lithium-ion,675.0,165,445,4.6,115.0,CCS,1500.0,519.0,5,AWD,JD - Large,4713,1881,1624,suv,https://ev-database.org/car/2279/Ford-Mustang-Mach-E-ER-AWD,0.165,2.5965323999999996,0.35,8.697369269531249,0.34789477078125,210.84531562499998,2000.0,235.44,0.0654,39.63636363636363,551.5151515151515,157.35919568676564,6.0606060606060606
Ford,Mustang Mach-E ER RWD (MY25),180,88.0,Lithium-ion,525.0,147,475,6.1,105.0,CCS,1500.0,519.0,5,RWD,JD - Large,4713,1881,1624,suv,https://ev-database.org/car/3188/Ford-Mustang-Mach-E-ER-RWD,0.147,2.5965323999999996,0.35,8.697369269531249,0.34789477078125,236.663109375,2000.0,235.44,0.0654,44.48979591836735,598.639455782313,157.06018436919683,6.802721088435375
Ford,Mustang Mach-E ER RWD (MY24),180,91.0,Lithium-ion,525.0,152,480,5.9,115.0,CCS,1500.0,519.0,5,RWD,JD - Large,4713,1881,1624,suv,https://ev-database.org/car/2278/Ford-Mustang-Mach-E-ER-RWD,0.152,2.5965323999999996,0.35,8.697369269531249,0.34789477078125,228.878138671875,2000.0,235.44,0.0654,43.026315789473685,598.6842105263158,160.97796177069878,6.578947368421053
Ford,Mustang Mach-E GT (MY24),200,91.0,Lithium-ion,950.0,177,425,3.8,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1613,suv,https://ev-database.org/car/2280/Ford-Mustang-Mach-E-GT,0.177,2.5789450499999997,0.35,8.638458517089843,0.34553834068359374,195.21940151615468,2000.0,235.44,0.0654,36.94915254237288,514.1242937853108,154.7781352279129,5.649717514124294
Ford,Mustang Mach-E GT (MY25),200,91.0,Lithium-ion,950.0,177,435,3.8,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1613,suv,https://ev-database.org/car/3190/Ford-Mustang-Mach-E-GT,0.177,2.5789450499999997,0.35,8.638458517089843,0.34553834068359374,195.21940151615468,2000.0,235.44,0.0654,36.94915254237288,514.1242937853108,154.7781352279129,5.649717514124294
Ford,Mustang Mach-E Rally (MY25),200,91.0,Lithium-ion,950.0,178,415,3.9,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1633,suv,https://ev-database.org/car/3191/Ford-Mustang-Mach-E-Rally,0.178,2.6109220499999997,0.35,8.74556897607422,0.3498227590429688,196.52963991178024,2000.0,235.44,0.0654,36.74157303370787,511.2359550561798,153.39937420271602,5.617977528089888
Ford,Mustang Mach-E Rally (MY24),200,91.0,Lithium-ion,950.0,178,410,3.9,115.0,CCS,750.0,519.0,5,AWD,JD - Large,4743,1881,1633,suv,https://ev-database.org/car/2275/Ford-Mustang-Mach-E-Rally,0.178,2.6109220499999997,0.35,8.74556897607422,0.3498227590429688,196.52963991178024,2000.0,235.44,0.0654,36.74157303370787,511.2359550561798,153.39937420271602,5.617977528089888
Ford,Mustang Mach-E SR RWD (MY24),180,72.6,Lithium-ion,525.0,154,385,6.2,100.0,CCS,750.0,519.0,5,RWD,JD - Large,4713,1881,1624,suv,https://ev-database.org/car/2277/Ford-Mustang-Mach-E-SR-RWD,0.154,2.5965323999999996,0.35,8.697369269531249,0.34789477078125,225.9056953125,2000.0,235.44,0.0654,42.46753246753247,471.4285714285714,127.97579625142481,6.4935064935064934
Ford,Mustang Mach-E SR RWD (MY25),180,72.6,Lithium-ion,525.0,154,380,6.2,100.0,CCS,750.0,519.0,5,RWD,JD - Large,4713,1881,1624,suv,https://ev-database.org/car/3187/Ford-Mustang-Mach-E-SR-RWD,0.154,2.5965323999999996,0.35,8.697369269531249,0.34789477078125,225.9056953125,2000.0,235.44,0.0654,42.46753246753247,471.4285714285714,127.97579625142481,6.4935064935064934
Ford,Puma Gen-E,160,43.6,Lithium-ion,290.0,126,275,8.0,85.0,CCS,750.0,523.0,5,FWD,JB - Compact,4214,1805,1555,suv,https://ev-database.org/car/3073/Ford-Puma-Gen-E,0.126,2.38575875,0.35,7.99135987548828,0.3196543950195312,253.69396430121523,2000.0,235.44,0.0654,51.90476190476191,346.031746031746,85.31381478156297,7.936507936507937
Ford,e-Tourneo Courier,145,43.6,Lithium-ion,290.0,164,200,11.0,80.0,CCS,750.0,470.0,5,FWD,N - Passenger Van,4337,1876,1817,small passenger van,https://ev-database.org/car/3166/Ford-e-Tourneo-Courier,0.164,2.8973881999999995,,,,,,,,,265.8536585365854,,6.097560975609756
Ford,e-Tourneo Custom L1 160 kW,130,64.0,Lithium-ion,415.0,370,235,9.0,70.0,CCS,2000.0,672.0,8,RWD,N - Passenger Van,5050,1999,1959,small passenger van,https://ev-database.org/car/3162/Ford-e-Tourneo-Custom-L1-160-kW,0.37,3.32863485,,,,,,,,,172.97297297297297,,2.7027027027027026
Ford,e-Tourneo Custom L1 210 kW,130,64.0,Lithium-ion,415.0,370,235,8.0,70.0,CCS,2000.0,672.0,8,RWD,N - Passenger Van,5050,1999,1959,small passenger van,https://ev-database.org/car/3163/Ford-e-Tourneo-Custom-L1-210-kW,0.37,3.32863485,,,,,,,,,172.97297297297297,,2.7027027027027026
Ford,e-Tourneo Custom L2 160 kW,150,64.0,Lithium-ion,415.0,370,235,9.0,70.0,CCS,2000.0,672.0,8,RWD,N - Passenger Van,5908,1999,1959,small passenger van,https://ev-database.org/car/3164/Ford-e-Tourneo-Custom-L2-160-kW,0.37,3.32863485,,,,,,,,,172.97297297297297,,2.7027027027027026
Ford,e-Tourneo Custom L2 210 kW,150,64.0,Lithium-ion,415.0,370,235,8.0,70.0,CCS,2000.0,672.0,8,RWD,N - Passenger Van,5908,1999,1959,small passenger van,https://ev-database.org/car/3165/Ford-e-Tourneo-Custom-L2-210-kW,0.37,3.32863485,,,,,,,,,172.97297297297297,,2.7027027027027026
GWM,ORA 03 48 kWh,160,45.4,Lithium-ion,250.0,146,260,8.3,45.0,CCS,0.0,228.0,5,FWD,C - Medium,4235,1825,1603,hatchback,https://ev-database.org/car/2091/GWM-ORA-03-48-kWh,0.146,2.48665375,0.3,7.139416040039062,0.2855766416015625,195.600439453125,1400.0,164.80800000000002,0.04578000000000001,31.35616438356165,310.95890410958907,95.10708774822962,6.849315068493151
GWM,ORA 03 63 kWh,160,59.3,Lithium-ion,250.0,141,340,8.2,56.0,CCS,0.0,228.0,5,FWD,C - Medium,4235,1825,1603,hatchback,https://ev-database.org/car/2092/GWM-ORA-03-63-kWh,0.141,2.48665375,0.3,7.139416040039062,0.2855766416015625,202.53662524933512,1400.0,164.80800000000002,0.04578000000000001,32.468085106382986,420.5673758865248,125.54073506606929,7.092198581560284
GWM,ORA 03 GT,160,59.3,Lithium-ion,250.0,148,325,8.2,56.0,CCS,0.0,228.0,5,FWD,C - Medium,4254,1848,1603,hatchback,https://ev-database.org/car/2093/GWM-ORA-03-GT,0.148,2.5179924,0.3,7.229392242187499,0.28917568968749996,195.38897951858107,1400.0,164.80800000000002,0.04578000000000001,30.93243243243244,400.6756756756757,122.78559144498432,6.756756756756757
GWM,ORA 07 GT,180,83.5,Lithium-ion,680.0,161,430,4.5,80.0,CCS,0.0,333.0,5,AWD,D - Large,4871,1862,1500,sedan,https://ev-database.org/car/2247/GWM-ORA-07-GT,0.161,2.37405,0.28,6.361712109375001,0.254468484375,158.05495923913045,1600.0,188.352,0.05232,32.49689440993789,518.6335403726708,178.49947741138212,6.211180124223603
GWM,ORA 07 Pro,170,64.3,Lithium-ion,340.0,146,350,8.2,75.0,CCS,0.0,333.0,5,FWD,D - Large,4871,1862,1500,sedan,https://ev-database.org/car/2246/GWM-ORA-07-Pro,0.146,2.37405,0.28,6.361712109375001,0.254468484375,174.29348244863016,1600.0,188.352,0.05232,35.83561643835617,440.4109589041096,142.00891192883486,6.849315068493151
GWM,ORA 07 Pure,170,64.3,Lithium-ion,340.0,146,350,8.2,75.0,CCS,0.0,333.0,5,FWD,D - Large,4871,1862,1500,sedan,https://ev-database.org/car/2245/GWM-ORA-07-Pure,0.146,2.37405,0.28,6.361712109375001,0.254468484375,174.29348244863016,1600.0,188.352,0.05232,35.83561643835617,440.4109589041096,142.00891192883486,6.849315068493151
